[0.957723, 0.199311, 4482.0, 5.51, 213.0, []]
[0.922249, 0.192777, 4490.0, 6.11, 214.0, []]
[0.892258, 0.186971, 4502.0, 4.08, 215.0, []]
[0.971928, 0.203904, 4526.0, 5.98, 216.0, []]
[0.91371, 0.193849, 4568.0, 6.51, 217.0, []]
[0.520462, 0.113206, 4614.0, 3.46, 219.0, ['CAS ETA']]
[0.969959, 0.20745, 4627.0, 5.92, 221.0, []]
[0.61551, 0.133171, 4636.0, 4.9, 223.0, ['CAS NU']]
[0.968971, 0.208975, 4656.0, 4.44, 224.0, []]
[0.934843, 0.202882, 4676.0, 5.07, 225.0, []]
[0.736069, 0.162555, 4727.0, 4.53, 226.0, []]
[0.864421, 0.191183, 4757.0, 5.55, 230.0, []]
[0.864419, 0.191189, 4758.0, 7.1, 231.0, []]
[0.959379, 0.213254, 4813.0, 5.17, 235.0, []]
[0.254288, 0.05473, 4815.0, 5.09, 236.0, []]
[0.614166, 0.138086, 4919.0, 5.24, 242.0, []]
[0.973177, 0.229189, 5112.0, 4.78, 248.0, []]
[0.341034, 0.079374, 5190.0, 6.67, 252.0, []]
[0.500672, 0.122521, 5234.0, 4.83, 253.0, ['CAS UPSILON']]
[0.91778, 0.222827, 5267.0, 5.8, 254.0, []]
[0.960782, 0.231963, 5268.0, 6.15, 255.0, []]
[0.88994, 0.217631, 5286.0, 5.46, 258.0, []]
[0.862948, 0.215058, 5382.0, 6.08, 262.0, []]
[0.47423, 0.119797, 5394.0, 2.15, 264.0, ['CAS GAMMA']]
[0.496744, 0.125389, 5395.0, 4.62, 265.0, ['CAS UPSILON']]
[0.951571, 0.237364, 5437.0, 5.35, 267.0, []]
[0.758744, 0.191822, 5448.0, 3.86, 269.0, []]
[0.339741, 0.083142, 5457.0, 5.45, 270.0, []]
[0.889192, 0.226682, 5516.0, 4.4, 271.0, []]
[0.846981, 0.218397, 5575.0, 5.44, 274.0, []]
[0.948326, 0.248486, 5722.0, 5.62, 279.0, []]
[0.843236, 0.220456, 5737.0, 4.3, 280.0, []]
[0.062365, 0.019286, 5848.0, 4.24, 285.0, []]
[0.750391, 0.205649, 6055.0, 5.59, 288.0, []]
[0.722642, 0.203482, 6116.0, 5.95, 290.0, []]
[0.818128, 0.230035, 6118.0, 5.5, 291.0, []]
[0.820734, 0.229306, 6178.0, 5.5, 293.0, []]
[0.953409, 0.268639, 6186.0, 4.27, 294.0, []]
[0.524778, 0.145608, 6192.0, 6.12, 295.0, []]
[0.958977, 0.270655, 6203.0, 5.4, 296.0, []]
[0.961209, 0.274787, 6288.0, 6.06, 301.0, []]
[0.955525, 0.277954, 6386.0, 6.03, 307.0, []]
